,runID,module,name,value,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit
0,safe-0-20251005-19:58:57-2294,NetworkA.sensor4.wlan[0].radio.energyConsumer,Sonnellini,3096.0,safe,20251005-19:58:57,20251005-195857,safe,omnetppB-MAC.ini,,,,,NetworkA,2294,0,#0,results,0,0,
1,safe-0-20251005-19:58:57-2294,NetworkA.sensor1.wlan[0].radio.energyConsumer,Sonnellini,3063.0,safe,20251005-19:58:57,20251005-195857,safe,omnetppB-MAC.ini,,,,,NetworkA,2294,0,#0,results,0,0,
2,safe-0-20251005-19:58:57-2294,NetworkA.sensor2.wlan[0].radio.energyConsumer,Sonnellini,3040.0,safe,20251005-19:58:57,20251005-195857,safe,omnetppB-MAC.ini,,,,,NetworkA,2294,0,#0,results,0,0,
3,safe-0-20251005-19:58:57-2294,NetworkA.sensor3.wlan[0].radio.energyConsumer,Sonnellini,3016.0,safe,20251005-19:58:57,20251005-195857,safe,omnetppB-MAC.ini,,,,,NetworkA,2294,0,#0,results,0,0,
