,runID,module,name,value,recordingmode,source,title,unit,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
1,Attacco_Aggressivo-0-20251005-11:28:27-2073,NetworkA.sensor1.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0025558961413631,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Aggressivo,20251005-11:28:27,20251005-112827,Attacco_Aggressivo,omnetppB-MAC.ini,,,,,NetworkA,2073,0,#0,results,0,0
2,Attacco_Aggressivo-0-20251005-11:28:27-2073,NetworkA.sensor2.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0026885127183851,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Aggressivo,20251005-11:28:27,20251005-112827,Attacco_Aggressivo,omnetppB-MAC.ini,,,,,NetworkA,2073,0,#0,results,0,0
3,Attacco_Aggressivo-0-20251005-11:28:27-2073,NetworkA.sensor3.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0026751936588002,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Aggressivo,20251005-11:28:27,20251005-112827,Attacco_Aggressivo,omnetppB-MAC.ini,,,,,NetworkA,2073,0,#0,results,0,0
0,Attacco_Aggressivo-0-20251005-11:28:27-2073,NetworkA.sensor4.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0025889537971322,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Aggressivo,20251005-11:28:27,20251005-112827,Attacco_Aggressivo,omnetppB-MAC.ini,,,,,NetworkA,2073,0,#0,results,0,0
