,runID,module,name,value,recordingmode,source,title,unit,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
1,Attacco_Silenzioso-0-20251005-11:51:04-3782,NetworkA.sensor1.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0032512858192506,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Silenzioso,20251005-11:51:04,20251005-115104,Attacco_Silenzioso,omnetppB-MAC.ini,,,,,NetworkA,3782,0,#0,results,0,0
2,Attacco_Silenzioso-0-20251005-11:51:04-3782,NetworkA.sensor2.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0033149171270718,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Silenzioso,20251005-11:51:04,20251005-115104,Attacco_Silenzioso,omnetppB-MAC.ini,,,,,NetworkA,3782,0,#0,results,0,0
3,Attacco_Silenzioso-0-20251005-11:51:04-3782,NetworkA.sensor3.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0033449788151342,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Silenzioso,20251005-11:51:04,20251005-115104,Attacco_Silenzioso,omnetppB-MAC.ini,,,,,NetworkA,3782,0,#0,results,0,0
0,Attacco_Silenzioso-0-20251005-11:51:04-3782,NetworkA.sensor4.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0032532495983643,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Silenzioso,20251005-11:51:04,20251005-115104,Attacco_Silenzioso,omnetppB-MAC.ini,,,,,NetworkA,3782,0,#0,results,0,0
