,runID,module,name,value,recordingmode,source,title,unit,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
1,Attacco_Silenzioso-0-20251005-11:51:04-3782,NetworkA.sensor1.wlan[0].radio.energyConsumer,rxPowerConsumptionScalar:mean,0.0083578251285816,mean,rxPowerConsumption,"RX Power consumption stats, mean",W,Attacco_Silenzioso,20251005-11:51:04,20251005-115104,Attacco_Silenzioso,omnetppB-MAC.ini,,,,,NetworkA,3782,0,#0,results,0,0
2,Attacco_Silenzioso-0-20251005-11:51:04-3782,NetworkA.sensor2.wlan[0].radio.energyConsumer,rxPowerConsumptionScalar:mean,0.0082615101289131,mean,rxPowerConsumption,"RX Power consumption stats, mean",W,Attacco_Silenzioso,20251005-11:51:04,20251005-115104,Attacco_Silenzioso,omnetppB-MAC.ini,,,,,NetworkA,3782,0,#0,results,0,0
3,Attacco_Silenzioso-0-20251005-11:51:04-3782,NetworkA.sensor3.wlan[0].radio.energyConsumer,rxPowerConsumptionScalar:mean,0.0080205158700659,mean,rxPowerConsumption,"RX Power consumption stats, mean",W,Attacco_Silenzioso,20251005-11:51:04,20251005-115104,Attacco_Silenzioso,omnetppB-MAC.ini,,,,,NetworkA,3782,0,#0,results,0,0
0,Attacco_Silenzioso-0-20251005-11:51:04-3782,NetworkA.sensor4.wlan[0].radio.energyConsumer,rxPowerConsumptionScalar:mean,0.0083832335329338,mean,rxPowerConsumption,"RX Power consumption stats, mean",W,Attacco_Silenzioso,20251005-11:51:04,20251005-115104,Attacco_Silenzioso,omnetppB-MAC.ini,,,,,NetworkA,3782,0,#0,results,0,0
