,runID,module,name,value,recordingmode,source,title,unit,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
1,Attacco_Burst-0-20251005-17:47:28-779,NetworkA.sensor1.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0016610738255034,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Burst,20251005-17:47:28,20251005-174728,Attacco_Burst,omnetpp802.15.4.ini,,,,,NetworkA,779,0,#0,results,0,0
2,Attacco_Burst-0-20251005-17:47:28-779,NetworkA.sensor2.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0016737335416202,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Burst,20251005-17:47:28,20251005-174728,Attacco_Burst,omnetpp802.15.4.ini,,,,,NetworkA,779,0,#0,results,0,0
3,Attacco_Burst-0-20251005-17:47:28-779,NetworkA.sensor3.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0016744809109176,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Burst,20251005-17:47:28,20251005-174728,Attacco_Burst,omnetpp802.15.4.ini,,,,,NetworkA,779,0,#0,results,0,0
0,Attacco_Burst-0-20251005-17:47:28-779,NetworkA.sensor4.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0016607023037352,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Burst,20251005-17:47:28,20251005-174728,Attacco_Burst,omnetpp802.15.4.ini,,,,,NetworkA,779,0,#0,results,0,0
