,runID,module,name,value,recordingmode,source,title,unit,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
1,Attacco_Burst-0-20251005-17:47:28-779,NetworkA.sensor1.wlan[0].radio.energyConsumer,rxPowerConsumptionScalar:mean,0.018333333333333,mean,rxPowerConsumption,"RX Power consumption stats, mean",W,Attacco_Burst,20251005-17:47:28,20251005-174728,Attacco_Burst,omnetpp802.15.4.ini,,,,,NetworkA,779,0,#0,results,0,0
2,Attacco_Burst-0-20251005-17:47:28-779,NetworkA.sensor2.wlan[0].radio.energyConsumer,rxPowerConsumptionScalar:mean,0.018277170274492,mean,rxPowerConsumption,"RX Power consumption stats, mean",W,Attacco_Burst,20251005-17:47:28,20251005-174728,Attacco_Burst,omnetpp802.15.4.ini,,,,,NetworkA,779,0,#0,results,0,0
3,Attacco_Burst-0-20251005-17:47:28-779,NetworkA.sensor3.wlan[0].radio.energyConsumer,rxPowerConsumptionScalar:mean,0.01828533154722,mean,rxPowerConsumption,"RX Power consumption stats, mean",W,Attacco_Burst,20251005-17:47:28,20251005-174728,Attacco_Burst,omnetpp802.15.4.ini,,,,,NetworkA,779,0,#0,results,0,0
0,Attacco_Burst-0-20251005-17:47:28-779,NetworkA.sensor4.wlan[0].radio.energyConsumer,rxPowerConsumptionScalar:mean,0.018329232833817,mean,rxPowerConsumption,"RX Power consumption stats, mean",W,Attacco_Burst,20251005-17:47:28,20251005-174728,Attacco_Burst,omnetpp802.15.4.ini,,,,,NetworkA,779,0,#0,results,0,0
