,runID,module,name,value,recordingmode,source,title,unit,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
1,Attacco_Burst-0-20251005-12:01:08-4774,NetworkA.sensor1.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0024465923444451,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Burst,20251005-12:01:08,20251005-120108,Attacco_Burst,omnetppB-MAC.ini,,,,,NetworkA,4774,0,#0,results,0,0
2,Attacco_Burst-0-20251005-12:01:08-4774,NetworkA.sensor2.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.002529653156445,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Burst,20251005-12:01:08,20251005-120108,Attacco_Burst,omnetppB-MAC.ini,,,,,NetworkA,4774,0,#0,results,0,0
3,Attacco_Burst-0-20251005-12:01:08-4774,NetworkA.sensor3.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0024966711051931,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Burst,20251005-12:01:08,20251005-120108,Attacco_Burst,omnetppB-MAC.ini,,,,,NetworkA,4774,0,#0,results,0,0
0,Attacco_Burst-0-20251005-12:01:08-4774,NetworkA.sensor4.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0024442538593482,mean,txPowerConsumption,"TX Power consumption stats, mean",W,Attacco_Burst,20251005-12:01:08,20251005-120108,Attacco_Burst,omnetppB-MAC.ini,,,,,NetworkA,4774,0,#0,results,0,0
