,runID,module,name,value,recordingmode,source,title,unit,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
1,safe-0-20251005-20:38:29-7902,NetworkA.sensor1.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0041480446927374,mean,txPowerConsumption,"TX Power consumption stats, mean",W,safe,20251005-20:38:29,20251005-203829,safe,omnetpp802.15.4.ini,,,,,NetworkA,7902,0,#0,results,0,0
2,safe-0-20251005-20:38:29-7902,NetworkA.sensor2.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.004164353137146,mean,txPowerConsumption,"TX Power consumption stats, mean",W,safe,20251005-20:38:29,20251005-203829,safe,omnetpp802.15.4.ini,,,,,NetworkA,7902,0,#0,results,0,0
3,safe-0-20251005-20:38:29-7902,NetworkA.sensor3.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0041689827682046,mean,txPowerConsumption,"TX Power consumption stats, mean",W,safe,20251005-20:38:29,20251005-203829,safe,omnetpp802.15.4.ini,,,,,NetworkA,7902,0,#0,results,0,0
0,safe-0-20251005-20:38:29-7902,NetworkA.sensor4.wlan[0].radio.energyConsumer,txPowerConsumptionScalar:mean,0.0041457286432161,mean,txPowerConsumption,"TX Power consumption stats, mean",W,safe,20251005-20:38:29,20251005-203829,safe,omnetpp802.15.4.ini,,,,,NetworkA,7902,0,#0,results,0,0
