,runID,module,name,value,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit
0,safe-0-20251005-20:38:29-7902,NetworkA.sensor4.wlan[0].radio.energyConsumer,Sonnellini,597.0,safe,20251005-20:38:29,20251005-203829,safe,omnetpp802.15.4.ini,,,,,NetworkA,7902,0,#0,results,0,0,
1,safe-0-20251005-20:38:29-7902,NetworkA.sensor1.wlan[0].radio.energyConsumer,Sonnellini,598.0,safe,20251005-20:38:29,20251005-203829,safe,omnetpp802.15.4.ini,,,,,NetworkA,7902,0,#0,results,0,0,
2,safe-0-20251005-20:38:29-7902,NetworkA.sensor2.wlan[0].radio.energyConsumer,Sonnellini,599.0,safe,20251005-20:38:29,20251005-203829,safe,omnetpp802.15.4.ini,,,,,NetworkA,7902,0,#0,results,0,0,
3,safe-0-20251005-20:38:29-7902,NetworkA.sensor3.wlan[0].radio.energyConsumer,Sonnellini,599.0,safe,20251005-20:38:29,20251005-203829,safe,omnetpp802.15.4.ini,,,,,NetworkA,7902,0,#0,results,0,0,
