,runID,module,name,value,recordingmode,source,title,unit,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
1,safe-0-20251005-20:38:29-7902,NetworkA.sensor1.wlan[0].radio.energyConsumer,rxPowerConsumptionScalar:mean,0.0083519553072626,mean,rxPowerConsumption,"RX Power consumption stats, mean",W,safe,20251005-20:38:29,20251005-203829,safe,omnetpp802.15.4.ini,,,,,NetworkA,7902,0,#0,results,0,0
2,safe-0-20251005-20:38:29-7902,NetworkA.sensor2.wlan[0].radio.energyConsumer,rxPowerConsumptionScalar:mean,0.0082731815657968,mean,rxPowerConsumption,"RX Power consumption stats, mean",W,safe,20251005-20:38:29,20251005-203829,safe,omnetpp802.15.4.ini,,,,,NetworkA,7902,0,#0,results,0,0
3,safe-0-20251005-20:38:29-7902,NetworkA.sensor3.wlan[0].radio.energyConsumer,rxPowerConsumptionScalar:mean,0.0082823790994998,mean,rxPowerConsumption,"RX Power consumption stats, mean",W,safe,20251005-20:38:29,20251005-203829,safe,omnetpp802.15.4.ini,,,,,NetworkA,7902,0,#0,results,0,0
0,safe-0-20251005-20:38:29-7902,NetworkA.sensor4.wlan[0].radio.energyConsumer,rxPowerConsumptionScalar:mean,0.0083472920156338,mean,rxPowerConsumption,"RX Power consumption stats, mean",W,safe,20251005-20:38:29,20251005-203829,safe,omnetpp802.15.4.ini,,,,,NetworkA,7902,0,#0,results,0,0
